Mes_Referencia;Arquivo_Origem;Quota_Codigo;Quota_Nome;Tipo_Linha;Data;Parcela;Valor_Original;Tipo;Valor_Num
2022-01;demonstrativoDAF (12).csv;;;TOTAL_PERIODO;;DEBITO BENEF.;1.309.672_31D;D;-1309672.31
2022-01;demonstrativoDAF (12).csv;;;TOTAL_PERIODO;;CREDITO BENEF.;3.488.346_37C;C;3488346.37
2022-01;demonstrativoDAF (12).csv;ADO;LC 176/2020 (ADO25);TOTAL_QUOTA_PARCELA;;RETENCAO PASEP;44_69D;D;-44.69
2022-01;demonstrativoDAF (12).csv;ADO;LC 176/2020 (ADO25);TOTAL_QUOTA_PARCELA;;LC 176/2020;4.469_49C;C;4469.49
2022-01;demonstrativoDAF (12).csv;ADO;LC 176/2020 (ADO25);TOTAL_QUOTA_FUNDO;;DEBITO FUNDO;44_69D;D;-44.69
2022-01;demonstrativoDAF (12).csv;ADO;LC 176/2020 (ADO25);TOTAL_QUOTA_FUNDO;;CREDITO FUNDO;4.469_49C;C;4469.49
2022-01;demonstrativoDAF (12).csv;ADO;LC 176/2020 (ADO25);DETALHE;28.01.2022;RETENCAO PASEP;44_69D;D;-44.69
2022-01;demonstrativoDAF (12).csv;ADO;LC 176/2020 (ADO25);DETALHE;28.01.2022;LC 176/2020;4.469_49C;C;4469.49
2022-01;demonstrativoDAF (12).csv;ADO;LC 176/2020 (ADO25);TOTAL_NA_DATA;28.01.2022;TOTAL NA DATA;4.424_80C;C;4424.8
2022-01;demonstrativoDAF (12).csv;CFH;COMPENSACAO FINANCEIRA RECURSOS HIDRICOS;TOTAL_QUOTA_PARCELA;;RETENCAO PASEP;129_79D;D;-129.79
2022-01;demonstrativoDAF (12).csv;CFH;COMPENSACAO FINANCEIRA RECURSOS HIDRICOS;TOTAL_QUOTA_PARCELA;;CFH-REC.HIDRICO;12.979_78C;C;12979.78
2022-01;demonstrativoDAF (12).csv;CFH;COMPENSACAO FINANCEIRA RECURSOS HIDRICOS;TOTAL_QUOTA_FUNDO;;DEBITO FUNDO;129_79D;D;-129.79
2022-01;demonstrativoDAF (12).csv;CFH;COMPENSACAO FINANCEIRA RECURSOS HIDRICOS;TOTAL_QUOTA_FUNDO;;CREDITO FUNDO;12.979_78C;C;12979.78
2022-01;demonstrativoDAF (12).csv;CFH;COMPENSACAO FINANCEIRA RECURSOS HIDRICOS;DETALHE;31.01.2022;RETENCAO PASEP;129_79D;D;-129.79
2022-01;demonstrativoDAF (12).csv;CFH;COMPENSACAO FINANCEIRA RECURSOS HIDRICOS;DETALHE;31.01.2022;CFH-REC.HIDRICO;12.979_78C;C;12979.78
2022-01;demonstrativoDAF (12).csv;CFH;COMPENSACAO FINANCEIRA RECURSOS HIDRICOS;TOTAL_NA_DATA;31.01.2022;TOTAL NA DATA;12.849_99C;C;12849.99
2022-01;demonstrativoDAF (12).csv;CID;CIDE-CONTRIB. INTERVENCAO DOMINIO ECONOMICO;TOTAL_QUOTA_PARCELA;;PASEP MUNICIPIO;44_17D;D;-44.17
2022-01;demonstrativoDAF (12).csv;CID;CIDE-CONTRIB. INTERVENCAO DOMINIO ECONOMICO;TOTAL_QUOTA_PARCELA;;COTA-MUNICIPIO;4.417_63C;C;4417.63
2022-01;demonstrativoDAF (12).csv;CID;CIDE-CONTRIB. INTERVENCAO DOMINIO ECONOMICO;TOTAL_QUOTA_FUNDO;;DEBITO FUNDO;44_17D;D;-44.17
2022-01;demonstrativoDAF (12).csv;CID;CIDE-CONTRIB. INTERVENCAO DOMINIO ECONOMICO;TOTAL_QUOTA_FUNDO;;CREDITO FUNDO;4.417_63C;C;4417.63
2022-01;demonstrativoDAF (12).csv;CID;CIDE-CONTRIB. INTERVENCAO DOMINIO ECONOMICO;DETALHE;10.01.2022;PASEP MUNICIPIO;44_17D;D;-44.17
2022-01;demonstrativoDAF (12).csv;CID;CIDE-CONTRIB. INTERVENCAO DOMINIO ECONOMICO;DETALHE;10.01.2022;COTA-MUNICIPIO;4.417_63C;C;4417.63
2022-01;demonstrativoDAF (12).csv;CID;CIDE-CONTRIB. INTERVENCAO DOMINIO ECONOMICO;TOTAL_NA_DATA;10.01.2022;TOTAL NA DATA;4.373_46C;C;4373.46
2022-01;demonstrativoDAF (12).csv;FEB;FUNDEB-FNDO MANUT DES EDUC BASICA E VAL PROF;TOTAL_QUOTA_PARCELA;;ORIGEM ITR;1.195_30C;C;1195.3
