DATA/PARCELA/VALOR DISTRIBUIDO
FPM   - FUNDO DE PARTICIPACAO DOS MUNICIPIOS, , 
DATA, PARCELA, VALOR DISTRIBUIDO
08.04.2022, PARCELA DE IPI, 114.456_16C
, PARCELA DE IR, 789.139_12C
, RETENCAO PASEP, 9.035_95D
, RFB-PREV-OB COR, 366.087_99D
, RFB-PREV-OB DEV, 62.637_66D
, RFB-PREV-PARC60, 101.359_17D
, DEDUCAO SAUDE, 135.539_28D
, DEDUCAO FUNDEB, 180.719_05D
, TOTAL NA DATA, 48.216_18C
20.04.2022, PARCELA DE IPI, 30.277_93C
, PARCELA DE IR, 128.586_24C
, RETENCAO PASEP, 1.588_63D
, RFB-RET DARF, 6.116_59D
, DEDUCAO SAUDE, 23.829_61D
, DEDUCAO FUNDEB, 31.772_82D
, TOTAL NA DATA, 95.556_52C
29.04.2022, PARCELA DE IPI, 27.846_74C
, PARCELA DE IR, 503.298_75C
, RETENCAO PASEP, 5.311_44D
, DEDUCAO SAUDE, 79.671_82D
, DEDUCAO FUNDEB, 106.229_09D
, TOTAL NA DATA, 339.933_14C
TOTAL POR PARCELA / NATUREZA, , 
, PARCELA DE IPI, 172.580_83C
, PARCELA DE IR, 1.421.024_11C
, RETENCAO PASEP, 15.936_02D
, RFB-PREV-OB COR, 366.087_99D
, RFB-PREV-OB DEV, 62.637_66D
, RFB-PREV-PARC60, 101.359_17D
, RFB-RET DARF, 6.116_59D
, DEDUCAO SAUDE, 239.040_71D
, DEDUCAO FUNDEB, 318.720_96D
, DEBITO FUNDO, 1.109.899_10D
, CREDITO FUNDO, 1.593.604_94C
FEP   - FUNDO ESPECIAL DO PETROLEO, , 
DATA, PARCELA, VALOR DISTRIBUIDO
22.04.2022, COTA-PARTE, 28.032_07C
, RETENCAO PASEP, 280_32D
, TOTAL NA DATA, 27.751_75C
28.04.2022, COTA-PARTE, 7.734_38C
, RETENCAO PASEP, 77_34D
, TOTAL NA DATA, 7.657_04C
TOTAL POR PARCELA / NATUREZA, , 
, COTA-PARTE, 35.766_45C
, RETENCAO PASEP, 357_66D
, DEBITO FUNDO, 357_66D
, CREDITO FUNDO, 35.766_45C
ITR   - IMPOSTO TERRITORIAL RURAL, , 
DATA, PARCELA, VALOR DISTRIBUIDO
08.04.2022, RETENCAO PASEP, 8_07D
, DEDUCAO SAUDE, 151_41D
, DEDUCAO FUNDEB, 201_89D
