Folha;Data_Contabil;Data_Lancamento;Historico;Detalhe;Lote;Banco;Origem;Documento;Valor;Tipo;Saldo;Eh_Cheque;Notas
1/4;31.05.2022;;Saldo anterior;;;;;;;;0,00 C;Nao;
1/4;02.06.2022;;870-Transferência recebida;02/06 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.000,00;C;;Nao;
1/4;02.06.2022;;870-Transferência recebida;02/06 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.265,47;C;;Nao;
1/4;02.06.2022;;976-TED-Crédito em Conta;104 1148 75845503000167 PREF MUN CENTE;14175;;;219971760;2.267,55;C;;Nao;
1/4;02.06.2022;;002-Cheque;02/06 00:00 CENTENARIO DO SUL   PR;12162;;;852123;4.075,48;D;;Sim;
1/4;02.06.2022;;271-BB-APLIC C.PRZ-APL.AUT;;;;;1972;457,54;D;0,00 C;Nao;
1/4;03.06.2022;;102-Cheque Compensado;;13079;748;1981;852122;3.000,00;D;;Sim;
1/4;03.06.2022;;848-Resgate Automático;;;;;1972;3.000,00;C;0,00 C;Nao;
1/4;06.06.2022;;870-Transferência recebida;06/06 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.000,00;C;;Nao;
1/4;06.06.2022;;870-Transferência recebida;06/06 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.500,00;C;;Nao;
1/4;06.06.2022;;870-Transferência recebida;06/06 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.500,00;C;;Nao;
1/4;06.06.2022;;870-Transferência recebida;06/06 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.000,00;C;;Nao;
1/4;06.06.2022;;870-Transferência recebida;06/06 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.800,00;C;;Nao;
1/4;06.06.2022;;102-Cheque Compensado;;13079;756;1981;852124;1.800,00;D;;Sim;
1/4;06.06.2022;;102-Cheque Compensado;;13079;237;1981;852125;2.000,00;D;;Sim;
1/4;06.06.2022;;271-BB-APLIC C.PRZ-APL.AUT;;;;;1972;3.000,00;D;0,00 C;Nao;
1/4;07.06.2022;;870-Transferência recebida;07/06 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.710,00;C;;Nao;
